item_id,title,brand,price,categories,item_attributes
1,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,COKA,5.04,Makeup|Face|Concealers & Neutralizers,"Brand: COKA, Price: 5.04, Categories: Makeup|Face|Concealers & Neutralizers"
2,Xtreme Brite Brightening Gel 1oz.,Xtreme Brite,19.99,"Hair Care|Styling Products|Creams, Gels & Lotions","Brand: Xtreme Brite, Price: 19.99, Categories: Hair Care|Styling Products|Creams, Gels & Lotions"
3,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women,Prada,65.86,Fragrance|Women's|Eau de Parfum,"Brand: Prada, Price: 65.86, Categories: Fragrance|Women's|Eau de Parfum"
4,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce",Versace,52.33,Fragrance|Women's|Eau de Toilette,"Brand: Versace, Price: 52.33, Categories: Fragrance|Women's|Eau de Toilette"
5,Stella McCartney Stella,unknown,unknown,Fragrance|Women's|Eau de Parfum,"Brand: unknown, Price: unknown, Categories: Fragrance|Women's|Eau de Parfum"
6,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce",Avalon Organics,9.49,Hair Care|Conditioners,"Brand: Avalon Organics, Price: 9.49, Categories: Hair Care|Conditioners"
7,"Better Living Classic Two Chamber Dispenser, White",Classic,25.99,Bath & Body|Bathing Accessories|Bath Trays,"Brand: Classic, Price: 25.99, Categories: Bath & Body|Bathing Accessories|Bath Trays"
8,Better Living The Ulti-Mate Dispenser,Better Living,39.95,Bath & Body|Bathing Accessories|Bath Trays,"Brand: Better Living, Price: 39.95, Categories: Bath & Body|Bathing Accessories|Bath Trays"
9,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz)",Crabtree &amp; Evelyn,18.19,Skin Care|Hands & Nails|Hand Creams & Lotions,"Brand: Crabtree &amp; Evelyn, Price: 18.19, Categories: Skin Care|Hands & Nails|Hand Creams & Lotions"
10,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ,unknown,unknown,Skin Care|Hands & Nails|Hand Creams & Lotions,"Brand: unknown, Price: unknown, Categories: Skin Care|Hands & Nails|Hand Creams & Lotions"
11,"Instant Heat Curling Iron, 1-Inch",Conair,13.95,Hair Care|Styling Tools|Irons|Curling Irons,"Brand: Conair, Price: 13.95, Categories: Hair Care|Styling Tools|Irons|Curling Irons"
