item_id,title,release_date,video_release_date,genre,item_attributes
25,Toy Story (1995),01-Jan-1995,unknown,Animation|Childrens|Comedy,"Title: Toy Story (1995), Genres: Animation|Childrens|Comedy"
148,GoldenEye (1995),01-Jan-1995,unknown,Action|Adventure|Thriller,"Title: GoldenEye (1995), Genres: Action|Adventure|Thriller"
234,Four Rooms (1995),01-Jan-1995,unknown,Thriller,"Title: Four Rooms (1995), Genres: Thriller"
48,Get Shorty (1995),01-Jan-1995,unknown,Action|Comedy|Drama,"Title: Get Shorty (1995), Genres: Action|Comedy|Drama"
76,Copycat (1995),01-Jan-1995,unknown,Crime|Drama|Thriller,"Title: Copycat (1995), Genres: Crime|Drama|Thriller"
1031,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,unknown,Drama,"Title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995), Genres: Drama"
210,Twelve Monkeys (1995),01-Jan-1995,unknown,Drama|Sci-Fi,"Title: Twelve Monkeys (1995), Genres: Drama|Sci-Fi"
390,Babe (1995),01-Jan-1995,unknown,Childrens|Comedy|Drama,"Title: Babe (1995), Genres: Childrens|Comedy|Drama"
501,Dead Man Walking (1995),01-Jan-1995,unknown,Drama,"Title: Dead Man Walking (1995), Genres: Drama"
189,Richard III (1995),22-Jan-1996,unknown,Drama|War,"Title: Richard III (1995), Genres: Drama|War"
230,Seven (Se7en) (1995),01-Jan-1995,unknown,Crime|Thriller,"Title: Seven (Se7en) (1995), Genres: Crime|Thriller"
298,"Usual Suspects, The (1995)",14-Aug-1995,unknown,Crime|Thriller,"Title: Usual Suspects, The (1995), Genres: Crime|Thriller"
432,Mighty Aphrodite (1995),30-Oct-1995,unknown,Comedy,"Title: Mighty Aphrodite (1995), Genres: Comedy"
134,"Postino, Il (1994)",01-Jan-1994,unknown,Drama|Romance,"Title: Postino, Il (1994), Genres: Drama|Romance"
69,Mr. Holland's Opus (1995),29-Jan-1996,unknown,Drama,"Title: Mr. Holland's Opus (1995), Genres: Drama"
40,French Twist (Gazon maudit) (1995),01-Jan-1995,unknown,Comedy|Romance,"Title: French Twist (Gazon maudit) (1995), Genres: Comedy|Romance"
325,From Dusk Till Dawn (1996),05-Feb-1996,unknown,Action|Comedy|Crime|Horror|Thriller,"Title: From Dusk Till Dawn (1996), Genres: Action|Comedy|Crime|Horror|Thriller"
