user_id,age,gender,occupation,user_profile
119,24,male,technician,"Age: 24
Gender: male
Occupation: technician"
230,53,female,other,"Age: 53
Gender: female
Occupation: other"
270,23,male,writer,"Age: 23
Gender: male
Occupation: writer"
268,24,male,technician,"Age: 24
Gender: male
Occupation: technician"
112,33,female,other,"Age: 33
Gender: female
Occupation: other"
10,42,male,executive,"Age: 42
Gender: male
Occupation: executive"
39,57,male,administrator,"Age: 57
Gender: male
Occupation: administrator"
74,36,male,administrator,"Age: 36
Gender: male
Occupation: administrator"
294,29,male,student,"Age: 29
Gender: male
Occupation: student"
40,53,male,lawyer,"Age: 53
Gender: male
Occupation: lawyer"
73,39,female,other,"Age: 39
Gender: female
Occupation: other"
305,28,female,other,"Age: 28
Gender: female
Occupation: other"
59,47,male,educator,"Age: 47
Gender: male
Occupation: educator"
138,45,male,scientist,"Age: 45
Gender: male
Occupation: scientist"
121,49,female,educator,"Age: 49
Gender: female
Occupation: educator"
132,21,male,entertainment,"Age: 21
Gender: male
Occupation: entertainment"
248,30,male,programmer,"Age: 30
Gender: male
Occupation: programmer"
115,35,female,other,"Age: 35
Gender: female
Occupation: other"
110,40,male,librarian,"Age: 40
Gender: male
Occupation: librarian"
58,42,female,homemaker,"Age: 42
Gender: female
Occupation: homemaker"
176,26,male,writer,"Age: 26
Gender: male
Occupation: writer"
3,25,male,writer,"Age: 25
Gender: male
Occupation: writer"
154,30,female,artist,"Age: 30
Gender: female
Occupation: artist"
247,21,female,artist,"Age: 21
Gender: female
Occupation: artist"
52,39,male,engineer,"Age: 39
Gender: male
Occupation: engineer"
116,49,male,engineer,"Age: 49
Gender: male
Occupation: engineer"
317,40,female,librarian,"Age: 40
Gender: female
Occupation: librarian"
78,32,male,writer,"Age: 32
Gender: male
Occupation: writer"
236,41,male,programmer,"Age: 41
Gender: male
Occupation: programmer"
287,7,male,student,"Age: 7
Gender: male
Occupation: student"
283,24,male,artist,"Age: 24
Gender: male
Occupation: artist"
80,28,female,student,"Age: 28
Gender: female
Occupation: student"
156,23,male,student,"Age: 23
Gender: male
Occupation: student"
278,38,female,administrator,"Age: 38
Gender: female
Occupation: administrator"
